pmoore-manual⁄mac-os-x:                       generic-worker  16.5.2  (revision  580fed54c2f8e7891224e30ff43bab2c080561b7)
aws-provisioner-v1⁄mpd001-1-b-win2012:        generic-worker  16.5.1  (revision  02bc4c9cd7247a7e01bc5a7e3395e2f5c24ff24d)
aws-provisioner-v1⁄gecko-t-win7-32-gpu:       generic-worker  16.5.1  (revision  02bc4c9cd7247a7e01bc5a7e3395e2f5c24ff24d)
aws-provisioner-v1⁄gecko-t-win7-32-gpu-b:     generic-worker  16.5.1  (revision  02bc4c9cd7247a7e01bc5a7e3395e2f5c24ff24d)
aws-provisioner-v1⁄gecko-t-win7-32:           generic-worker  16.5.1  (revision  02bc4c9cd7247a7e01bc5a7e3395e2f5c24ff24d)
aws-provisioner-v1⁄gecko-t-win7-32-cu:        generic-worker  16.5.1  (revision  02bc4c9cd7247a7e01bc5a7e3395e2f5c24ff24d)
aws-provisioner-v1⁄gecko-t-win7-32-beta:      generic-worker  16.5.1  (revision  02bc4c9cd7247a7e01bc5a7e3395e2f5c24ff24d)
aws-provisioner-v1⁄gecko-t-win10-64-gpu-s:    generic-worker  16.5.1  (revision  02bc4c9cd7247a7e01bc5a7e3395e2f5c24ff24d)
aws-provisioner-v1⁄gecko-t-win10-64-gpu:      generic-worker  16.5.1  (revision  02bc4c9cd7247a7e01bc5a7e3395e2f5c24ff24d)
aws-provisioner-v1⁄gecko-t-win10-64-gpu-b:    generic-worker  16.5.1  (revision  02bc4c9cd7247a7e01bc5a7e3395e2f5c24ff24d)
aws-provisioner-v1⁄gecko-t-win10-64:          generic-worker  16.5.1  (revision  02bc4c9cd7247a7e01bc5a7e3395e2f5c24ff24d)
aws-provisioner-v1⁄gecko-t-win10-64-cu:       generic-worker  16.5.1  (revision  02bc4c9cd7247a7e01bc5a7e3395e2f5c24ff24d)
aws-provisioner-v1⁄gecko-t-win10-64-beta:     generic-worker  16.5.1  (revision  02bc4c9cd7247a7e01bc5a7e3395e2f5c24ff24d)
aws-provisioner-v1⁄gecko-2-b-win2012:         generic-worker  16.5.1  (revision  02bc4c9cd7247a7e01bc5a7e3395e2f5c24ff24d)
aws-provisioner-v1⁄gecko-1-b-win2012-xlarge:  generic-worker  16.5.1  (revision  02bc4c9cd7247a7e01bc5a7e3395e2f5c24ff24d)
aws-provisioner-v1⁄gecko-1-b-win2012:         generic-worker  16.5.1  (revision  02bc4c9cd7247a7e01bc5a7e3395e2f5c24ff24d)
aws-provisioner-v1⁄gecko-1-b-win2012-beta:    generic-worker  16.5.1  (revision  02bc4c9cd7247a7e01bc5a7e3395e2f5c24ff24d)
sandbox-1⁄win2016-gamma:                      generic-worker  16.4.0  (revision  4a7693dcf6619e87da87be17d86a93304344351d)
